CNT,ST004D01T,ST062Q01TA,ST062Q02TA,ST294Q02JA,ST295Q02JA,ST296Q04JA,RELATST,BELONG,PERSEVAGR,CURIOAGR,GROSAGR,FAMSUP,DISCLIM,TEACHSUP,MATHEFF,ANXMAT,MATHPERS,HISCED,HISEI,HOMEPOS,ESCS,top_10_percent
DEU,1.0,1.0,1.0,4.0,4.0,1.0,-1.1002,-1.1488,0.362,0.0276,1.0454,0.3036,-0.9635,-1.0693,0.114,-0.0394,0.259,8.0,31.08,0.368,0.0348,0
DEU,1.0,1.0,1.0,1.0,1.0,1.0,-1.799,-0.4876,,-2.6371,1.8521,-2.8243,-2.4706,1.5558,-3.4216,-2.3755,-2.5519,8.0,,-0.0779,-0.0312,0
DEU,1.0,1.0,1.0,,,,,,,,,,-0.2931,1.5558,,-1.299,,,33.76,-1.7627,-0.9061,0
DEU,1.0,,,,,,,,,,,,,,,,,,,,,0
DEU,1.0,1.0,1.0,6.0,6.0,2.0,-0.1406,0.9614,1.6792,-1.113,-0.26,0.4505,1.8372,0.4357,0.0572,-1.6297,0.7553,8.0,76.49,1.5561,1.3954,0
DEU,1.0,1.0,1.0,1.0,6.0,2.0,2.5451,0.9331,0.1648,0.0507,0.2652,-0.7914,-0.707,0.8211,0.1033,0.3378,-0.9554,6.0,74.66,2.0476,0.8921,1
DEU,2.0,1.0,1.0,4.0,6.0,1.0,-2.0378,-0.7797,,-1.2033,,-1.3164,0.4029,-2.9095,2.0919,2.6149,1.9009,10.0,17.0,,-0.6441,0
DEU,1.0,1.0,1.0,2.0,3.0,1.0,1.2473,0.9331,-0.7569,0.156,-0.0737,-0.9247,1.1687,-1.3627,-0.5502,1.9159,-1.0678,9.0,52.72,-0.7804,-0.043,0
DEU,2.0,1.0,2.0,3.0,3.0,1.0,-1.0674,-1.2722,-0.692,-1.0458,-0.1038,-0.6869,-0.5502,-0.1002,-0.3124,-0.4577,-0.4813,6.0,61.6,0.3496,-0.0737,0
DEU,2.0,1.0,4.0,6.0,6.0,3.0,-0.8367,2.7308,0.041,-0.9973,0.9252,,0.1201,0.4357,-0.251,-2.3945,-0.4372,7.0,56.0,2.1062,0.9877,0
DEU,2.0,1.0,2.0,1.0,1.0,1.0,-0.3085,0.2315,-0.4033,-0.2694,-0.339,-0.9745,0.1166,-0.3322,-0.9819,-0.4577,-0.4363,6.0,44.94,1.0772,-0.0801,0
DEU,1.0,2.0,2.0,5.0,5.0,2.0,2.6372,0.3739,0.9844,-0.4597,-0.0179,0.2787,0.6533,-0.3322,-0.2793,0.905,0.7087,8.0,29.18,-0.9899,-0.5762,0
DEU,2.0,1.0,1.0,4.0,3.0,1.0,0.3778,2.4581,0.2227,-0.775,0.3361,-0.3963,0.3045,0.1475,0.193,-1.6654,-0.9023,5.0,74.66,0.9573,0.4303,0
DEU,2.0,1.0,1.0,5.0,5.0,1.0,-0.2298,-0.4814,0.2549,-1.4681,-1.2038,-0.6863,-1.5819,-0.8059,-0.5891,0.1748,0.9088,10.0,79.74,-1.0451,0.3551,0
DEU,1.0,1.0,1.0,1.0,1.0,3.0,-0.2308,0.3279,-0.1566,-0.3072,0.657,-0.2007,-0.3692,-0.8059,-0.413,0.6647,-0.4061,5.0,79.49,1.2112,0.629,0
DEU,2.0,4.0,4.0,1.0,1.0,1.0,-1.3578,0.0137,1.4694,1.2115,-0.9262,1.4815,-2.4705,-0.8059,,,,8.0,65.12,4.0217,2.225,0
DEU,2.0,2.0,2.0,6.0,4.0,,0.619,0.195,0.2314,-1.1322,-4.2853,0.1905,-0.8615,-1.0693,-0.082,0.6566,-0.0879,10.0,85.41,0.3083,1.0353,0
DEU,1.0,4.0,4.0,1.0,3.0,2.0,-0.0572,2.7308,0.2104,-0.8657,0.657,-0.0389,-0.3306,-0.3322,0.457,0.133,0.2177,3.0,,-0.5377,-2.2347,0
DEU,1.0,2.0,3.0,1.0,6.0,4.0,0.9063,-2.8586,1.4538,2.4162,0.1163,,-1.5145,0.4357,-0.9181,0.5653,1.2253,3.0,,-0.1441,-0.6478,0
DEU,2.0,1.0,1.0,5.0,5.0,3.0,-0.1726,0.2106,3.69,1.5843,0.7342,0.3322,-0.8516,-0.1002,0.0919,0.6647,0.486,6.0,53.15,0.9368,0.0155,0
DEU,1.0,1.0,1.0,4.0,4.0,4.0,-1.2864,-0.3485,-0.8525,0.1618,-1.2385,0.7721,-0.842,-1.3627,2.1188,2.5026,0.5304,6.0,25.63,-0.539,-1.1292,0
DEU,2.0,1.0,1.0,5.0,1.0,2.0,-1.121,0.3519,0.1761,-0.9832,0.8545,-0.7429,1.1405,-0.1002,0.7608,-2.3945,-0.7572,3.0,28.48,0.515,-1.1367,0
DEU,2.0,1.0,1.0,4.0,4.0,2.0,0.413,2.4581,-0.1631,0.0087,1.6437,1.9405,0.7652,0.8211,1.254,-0.3794,0.9077,5.0,,0.4168,-0.0268,0
DEU,2.0,1.0,1.0,1.0,5.0,2.0,1.0196,0.1541,0.8384,1.2393,-0.8366,,0.6868,0.4357,1.297,-2.249,1.0754,9.0,88.31,1.2202,1.4763,1
DEU,1.0,1.0,1.0,3.0,2.0,3.0,1.1784,-0.887,-0.6376,-1.5012,,-0.1108,-0.0611,1.5558,,,,,,-1.3949,,0
DEU,1.0,1.0,1.0,6.0,6.0,2.0,0.5389,-0.6458,0.6855,1.0509,-0.9963,1.8592,-0.313,-0.3322,-0.5602,0.6387,-0.9818,9.0,74.66,0.9595,1.1082,0
DEU,1.0,1.0,1.0,1.0,4.0,,-0.5889,-0.3397,-1.1241,1.112,-0.1927,,,,,,,7.0,56.0,1.1748,0.5932,0
DEU,2.0,1.0,1.0,4.0,3.0,1.0,0.0159,-1.2296,-0.3738,-0.877,0.7773,-0.0651,-0.6497,1.5558,0.4053,1.4533,0.4483,3.0,65.01,0.0248,-0.6546,0
DEU,2.0,1.0,1.0,2.0,5.0,5.0,0.8032,-1.227,-0.7719,-0.4345,0.7342,,,,,,,8.0,74.66,0.401,0.8716,0
DEU,2.0,1.0,1.0,1.0,2.0,1.0,-1.018,-0.8792,-1.2606,0.3205,-0.5173,-0.4034,0.7631,0.4357,2.0178,-1.6297,0.1738,9.0,65.01,1.0509,0.9647,1
DEU,2.0,1.0,1.0,1.0,6.0,4.0,0.7545,-0.0536,-0.2222,-0.3385,0.657,-0.7118,-0.0691,-0.3322,-0.4815,0.051,-0.0938,5.0,32.2,0.881,-0.4037,1
DEU,2.0,1.0,1.0,5.0,1.0,3.0,-0.9713,-0.9768,-0.1349,-0.1928,0.8166,0.1173,-1.0183,-1.3627,-0.8249,-0.3744,-0.3212,8.0,14.21,0.0673,-0.4111,1
DEU,1.0,1.0,1.0,4.0,4.0,1.0,-0.7256,0.7289,-0.667,-0.9359,-1.0993,-0.2927,-0.0611,-0.5635,-1.0173,1.1287,-0.0299,3.0,62.45,0.2735,-0.5976,0
DEU,2.0,1.0,1.0,3.0,3.0,1.0,-0.4734,0.5453,-0.6532,-1.2872,-0.4476,,0.165,0.1475,-1.6276,0.6387,0.1604,6.0,31.08,-0.9597,-1.2045,0
DEU,2.0,1.0,1.0,6.0,6.0,1.0,0.8509,0.0518,0.8164,-0.1241,-1.2038,,-0.3306,0.1475,,,,8.0,80.75,0.7156,1.1199,0
DEU,1.0,1.0,1.0,6.0,5.0,1.0,-0.1496,-0.3128,0.8406,-1.2253,0.3361,,1.6289,0.4357,-0.082,0.4067,1.0317,8.0,,-0.8695,0.2258,0
DEU,2.0,1.0,1.0,,,,,,,,,,-1.0078,1.5558,,0.1031,,3.0,14.21,-0.0741,-1.6556,0
DEU,1.0,3.0,2.0,6.0,2.0,5.0,-1.1363,-0.4948,1.2685,-1.1965,-0.2269,-0.5355,0.4628,-0.5635,-0.4966,-0.2045,0.1615,7.0,28.48,-0.2699,-0.5383,0
DEU,1.0,1.0,1.0,1.0,6.0,3.0,-1.186,0.3279,0.7308,1.3479,0.9252,0.9194,-0.649,0.4357,0.4472,0.1031,1.3753,9.0,59.85,1.2333,0.9445,1
DEU,1.0,2.0,2.0,4.0,6.0,2.0,0.073,-1.1334,0.3675,-0.3256,0.8545,-1.6544,-1.1331,-0.1002,-0.878,1.1606,-0.0848,1.0,35.34,-0.7778,-2.5701,0
DEU,2.0,1.0,1.0,4.0,3.0,2.0,-0.4484,0.5159,-0.4848,0.2619,1.1581,-0.2587,0.1765,1.5558,0.7541,0.1748,0.1974,9.0,73.91,-0.3403,0.5435,1
DEU,2.0,1.0,2.0,1.0,1.0,1.0,-1.4997,2.7308,-0.6609,-0.8325,0.278,,-2.4752,1.5558,-1.466,-0.1172,-0.2863,8.0,56.0,-0.728,0.0412,0
DEU,2.0,1.0,1.0,1.0,1.0,1.0,-2.8457,-1.219,-0.666,-0.6737,-0.976,-0.9002,0.4277,-2.9095,-2.1898,0.4067,-0.2383,1.0,88.96,-1.4199,-1.8297,0
